fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Ticker
2024-12-31,USD,13321600000,8515500000,595800000,595800000,0,3008600000,4806100000,0,0,1259900000,1259900000,2983400000,0,80500000,3764700000,199000000,0,11832800000,8327300000,952700000,0,0,1293200000,3505500000,0,3082100000,1293100000,0,1293200000,4279500000,277800000,1488800000,0,2066800000,500000,39000000,WEX
2023-12-31,USD,13882100000,8935300000,975800000,975800000,1,3428500000,4946800000,0,0,1458700000,1458700000,3015700000,0,66800000,3022100000,1367999999,0,12061500000,8519200000,1323600000,0,0,1041099999,3542300000,0,2827500000,1041100000,0,3868600000,5958600001,585300000,1820600000,0,1757100000,500000,43300000,WEX
2022-12-31,USD,11529229000,6817149000,921978000,921978000,1080953000,3275663000,4712080000,202229000,0,1473600000,1473600000,2728889000,0,47998000,1395272000,1224236000,0,9879716000,6294067000,1225000000,0,0,214442000,3585649000,0,2522206000,202638000,0,2724844000,4858336000,921287000,1649513000,0,1490527000,495000,44724000,WEX
2021-12-31,USD,10306828000,5299512000,588923000,588923000,793101000,2891242000,5007316000,179531000,0,1643296000,1643296000,2908057000,0,39650000,948677000,870670000,0,8213949000,4399699000,1021911000,0,0,155769000,3814250000,0,2695365000,155769000,0,2851134000,3222019000,925920000,1838773000,-172342000,1289089000,492000,45312000,WEX
2020-12-31,USD,8183361000,3502847000,852033000,852033000,570856000,1993329000,4680514000,188340000,0,1552012000,1552012000,2688138000,0,37273000,37273000,657485000,0,6148225000,2740853000,778207000,0,0,152730000,3407372000,0,2874113000,152730000,0,3026843000,1809916000,313137000,1904895000,-172342000,1286976000,485000,43842000,WEX
2019-12-31,USD,8298418000,3842375000,810932000,810932000,282641000,2661108000,4456043000,212475000,0,1575050000,1575050000,2441201000,0,30460000,2395000,370335000,0,6205017000,3049943000,969816000,0,0,248531000,3155074000,0,2686513000,248531000,0,2935044000,1831596000,249821000,1926947000,-172342000,1539201000,477000,43769000,WEX
2018-12-31,USD,6770595000,3398126000,541498000,541498000,123404000,2584203000,3372469000,187868000,0,1034194000,1034194000,1832129000,0,24406000,8800000,272425000,0,4974671000,2311571000,814742000,0,0,216517000,2663100000,0,2133923000,216517000,0,2350440000,1280312000,377492000,1785697000,-172342000,1481593000,475000,43574000,WEX
2017-12-31,USD,6739175000,3209505000,508072000,508072000,1,2455907000,3529670000,163908000,0,1154047000,1154047000,1876132000,0,23358000,23358000,227767000,0,5018617000,1134584000,752371000,0,0,397218000,3884033000,0,591006000,275690000,0,2424971000,1425191000,44849000,1711338000,-172342000,1404683000,473000,43022000,WEX
2016-12-31,USD,6079881000,2366573000,190930000,190930000,-11708000,2054701000,3713308000,167278000,0,1265468000,1265468000,1838441000,0,23525000,23525000,97417000,0,4574134000,940579000,617118000,0,0,210078000,3633555000,0,521289000,125755000,0,2204903000,323461000,66021000,1497189000,-172342000,1244271000,472000,40914000,WEX
2015-12-31,USD,3857946000,1894880000,279989000,279989000,1,1508605000,1963066000,138585000,0,465612000,465612000,1117978000,0,5007000,18562000,87724000,0,2762265000,534991000,378811000,0,0,132064000,2227274000,0,450046000,1191782000,0,1201819000,336057000,68293000,1083244000,-172342000,1183634000,431000,38843000,WEX
2014-12-31,USD,4118347000,2169243000,284763000,284763000,-5927000,1865538000,1949104000,105596000,0,498045000,498045000,1116365000,0,40969000,18940000,53755000,0,3024036000,563183000,425956000,0,0,901564000,2460853000,0,452975000,1354539000,0,1354539000,137227000,83009000,1060325000,-150331000,1081730000,430000,39000000,WEX
2013-12-31,USD,3433043000,2089510000,361486000,361486000,-4339000,1712061000,1343533000,72277000,0,208997000,208997000,818402000,0,0,15963000,4339000,0,2511017000,605213000,512878000,0,0,285000000,1905804000,0,407358000,0,0,692358000,92335000,94157000,902778000,-130566000,879519000,429000,39103000,WEX
2012-12-31,USD,3106684000,1769826000,197662000,197662000,-2920999,1555814000,1336858000,60097000,0,241810000,241810000,844285000,0,0,16350000,2920999,0,2267091000,588370000,500723000,0,0,621000000,1678721000,0,1729000,0,0,669400000,77496000,155496000,817931000,-112655000,730311000,426000,39092000,WEX
2011-12-31,USD,2278060000,1376866000,25791000,25791000,0,1323915000,901194000,62078000,0,109656000,109656000,549504000,0,0,17044000,410000,0,1568745000,1459818000,409226000,0,0,302200000,108927000,0,415000,0,0,394963000,693654000,115412000,709315000,-101367000,633389000,423000,38998000,WEX
2010-12-31,USD,2097951000,1187729000,18045000,18045000,0,1160482000,910222000,60785000,0,124727000,124727000,537055000,0,0,9202000,0,0,1538944000,1013910000,379855000,0,0,59484000,525034000,0,10877000,0,0,159629000,570933000,166341000,559007000,-101367000,499767000,419000,39052000,WEX
2009-12-31,USD,1499662000,900204000,39304000,39304000,0,844152000,599458000,44991000,0,34815000,34815000,315227000,0,0,10596000,6152000,0,1058346000,940593000,283149000,0,0,71723000,117753000,0,128000000,0,0,199723000,-71723000,0,441316000,-83010000,412138000,412000,39364000,WEX
2008-12-31,USD,1611855000,955072000,183117000,183117000,12533000,710128000,656783000,44864000,0,39922000,39922000,315230000,0,0,12533000,49294000,0,1317193000,997827000,249067000,0,0,170600000,319366000,0,170600000,0,0,479966000,-170600000,0,294662000,-76742000,272479000,410000,39787000,WEX
2007-12-31,USD,1785076000,1126106000,43019000,43019000,0,1073593000,658970000,45537000,0,20932000,20932000,294365000,0,0,9494000,0,0,1580817000,398499000,363189000,0,0,0,1182318000,0,199400000,0,0,207575000,35310000,0,204259000,-37711000,144839000,408000,40751000,WEX
2006-12-31,USD,1551015000,845248000,35060000,35060000,0,802165000,705767000,39970000,0,2421000,2421000,272861000,0,0,8023000,0,0,1367888000,323980000,297102000,0,0,0,1043908000,0,129760000,0,0,215156000,26878000,0,183127000,0,93262000,404000,41553000,WEX
2005-12-31,USD,1420421000,721304000,44994000,44994000,0,655432000,699117000,38543000,0,137468000,137468000,135047000,0,0,20878000,0,0,1345682000,743897000,254381000,0,0,92027000,601785000,0,167508000,0,0,259535000,-92027000,0,74739000,0,18653000,402000,40735000,WEX
